,date,search_term,interest
451,2019-08-04,efficient boiler,0
452,2019-08-11,efficient boiler,0
453,2019-08-18,efficient boiler,0
454,2019-08-25,efficient boiler,12
455,2019-09-01,efficient boiler,14
456,2019-09-08,efficient boiler,16
457,2019-09-15,efficient boiler,10
458,2019-09-22,efficient boiler,0
459,2019-09-29,efficient boiler,22
460,2019-10-06,efficient boiler,0
461,2019-10-13,efficient boiler,36
462,2019-10-20,efficient boiler,0
463,2019-10-27,efficient boiler,46
464,2019-11-03,efficient boiler,37
465,2019-11-10,efficient boiler,40
466,2019-11-17,efficient boiler,23
467,2019-11-24,efficient boiler,25
468,2019-12-01,efficient boiler,38
469,2019-12-08,efficient boiler,28
470,2019-12-15,efficient boiler,26
471,2019-12-22,efficient boiler,14
472,2019-12-29,efficient boiler,31
473,2020-01-05,efficient boiler,0
474,2020-01-12,efficient boiler,23
475,2020-01-19,efficient boiler,31
476,2020-01-26,efficient boiler,0
477,2020-02-02,efficient boiler,28
478,2020-02-09,efficient boiler,0
479,2020-02-16,efficient boiler,0
480,2020-02-23,efficient boiler,20
481,2020-03-01,efficient boiler,0
482,2020-03-08,efficient boiler,28
483,2020-03-15,efficient boiler,12
484,2020-03-22,efficient boiler,28
485,2020-03-29,efficient boiler,0
486,2020-04-05,efficient boiler,0
487,2020-04-12,efficient boiler,0
488,2020-04-19,efficient boiler,12
489,2020-04-26,efficient boiler,12
490,2020-05-03,efficient boiler,11
491,2020-05-10,efficient boiler,11
492,2020-05-17,efficient boiler,0
493,2020-05-24,efficient boiler,15
494,2020-05-31,efficient boiler,11
495,2020-06-07,efficient boiler,0
496,2020-06-14,efficient boiler,15
497,2020-06-21,efficient boiler,0
498,2020-06-28,efficient boiler,18
499,2020-07-05,efficient boiler,49
500,2020-07-12,efficient boiler,0
501,2020-07-19,efficient boiler,36
502,2020-07-26,efficient boiler,21
503,2020-08-02,efficient boiler,0
504,2020-08-09,efficient boiler,14
505,2020-08-16,efficient boiler,0
506,2020-08-23,efficient boiler,15
507,2020-08-30,efficient boiler,0
508,2020-09-06,efficient boiler,0
509,2020-09-13,efficient boiler,12
510,2020-09-20,efficient boiler,25
