,Lifter,Date,variable,value
275,Brenan Lasala,08/13/2022,points_ipf_gl,96.96
276,Maxon Shethar,03/26/2022,points_ipf_gl,96.94
277,Joshua Longoria,02/12/2022,points_ipf_gl,96.94
278,Deontay Walker,06/08/2022,points_ipf_gl,96.89
279,Joshua Villa,03/19/2022,points_ipf_gl,96.89
280,Joel Patera,04/02/2022,points_ipf_gl,96.87
281,Brandon Rojo,09/24/2022,points_ipf_gl,96.86
282,Wesley Allen,03/05/2022,points_ipf_gl,96.86
283,Tyler Tai Nguyen,10/15/2022,points_ipf_gl,96.85
284,William Ivey,10/15/2022,points_ipf_gl,96.84
285,Atomu Wakamatsu,06/08/2022,points_ipf_gl,96.83
286,Niels Levy-Thiebaut,08/06/2022,points_ipf_gl,96.81
287,Wascar Carpio,03/06/2022,points_ipf_gl,96.78
288,Peter Cherry,03/06/2022,points_ipf_gl,96.76
289,Adam Cecchetto,10/08/2022,points_ipf_gl,96.74
290,Darious Stokes,02/19/2022,points_ipf_gl,96.73
291,Antonio Thomas,05/01/2022,points_ipf_gl,96.72
292,Nicholas Gorham,10/15/2022,points_ipf_gl,96.71
293,Eddy Tamayo Garcia,06/08/2022,points_ipf_gl,96.68
294,Adrian Kim,08/20/2022,points_ipf_gl,96.66
295,Cody Gassman,03/19/2022,points_ipf_gl,96.65
296,William O'Neil-White,10/08/2022,points_ipf_gl,96.6
297,Nathan Tansey,03/26/2022,points_ipf_gl,96.56
298,Gregory Wunrow,09/03/2022,points_ipf_gl,96.55
299,Jared Hernandez,05/07/2022,points_ipf_gl,96.55
300,Michael Hennessy,09/10/2022,points_ipf_gl,96.49
301,Nicholas Tadrick,06/08/2022,points_ipf_gl,96.49
302,Max Runkle,03/19/2022,points_ipf_gl,96.49
303,Morgan Chan,04/16/2022,points_ipf_gl,96.45
304,Lance London,07/08/2022,points_ipf_gl,96.42
305,Aliki Hui,07/23/2022,points_ipf_gl,96.36
306,Joshua Price,01/29/2022,points_ipf_gl,96.36
307,Nathan Alexander,06/08/2022,points_ipf_gl,96.34
308,Austin Miller,08/13/2022,points_ipf_gl,96.34
309,Nikolas Williams,08/13/2022,points_ipf_gl,96.32
310,Luke McCain,06/08/2022,points_ipf_gl,96.27
311,Allan Bautista,08/13/2022,points_ipf_gl,96.26
312,Nathan Redwing,04/23/2022,points_ipf_gl,96.26
313,Cole Garcia,03/26/2022,points_ipf_gl,96.24
314,Chris Salazar,06/25/2022,points_ipf_gl,96.21
315,Garrett Bailey,03/12/2022,points_ipf_gl,96.21
316,Jeffrey Glover,06/04/2022,points_ipf_gl,96.2
317,Lee Gerth,09/10/2022,points_ipf_gl,96.16
318,Phillip Wilson,01/15/2022,points_ipf_gl,96.14
319,Travis Napier,02/12/2022,points_ipf_gl,96.1
320,Edward Tadman,06/08/2022,points_ipf_gl,96.09
321,Curtis Whitten,06/25/2022,points_ipf_gl,96.08
322,Jesse Rodriguez,06/08/2022,points_ipf_gl,96.07
323,Bryan Harwell,04/30/2022,points_ipf_gl,96.07
324,Romar Paul Harayo,03/30/2022,points_ipf_gl,96.04
325,Derek Akunne,09/24/2022,points_ipf_gl,96.03
326,Lucas Sison,02/26/2022,points_ipf_gl,96.0
327,Kendall Washington,06/08/2022,points_ipf_gl,96.0
328,Matt Foddrill,03/06/2022,points_ipf_gl,95.99
329,Gabe Cuadra,03/26/2022,points_ipf_gl,95.96
330,Joe Bertone,02/19/2022,points_ipf_gl,95.95
331,Lee Maccarone,10/01/2022,points_ipf_gl,95.95
332,Michael Weshnak,09/25/2022,points_ipf_gl,95.95
333,Ronell Labrada,10/01/2022,points_ipf_gl,95.93
334,Paul Manzella,07/23/2022,points_ipf_gl,95.92
335,Jacob Lynch,09/25/2022,points_ipf_gl,95.9
336,Alex Beaufort,09/11/2022,points_ipf_gl,95.9
337,Hugo Mendoza,04/09/2022,points_ipf_gl,95.89
338,Ryan Nolan,07/08/2022,points_ipf_gl,95.89
339,Derreck Radzieski,03/19/2022,points_ipf_gl,95.88
340,Matthew Cronin,06/08/2022,points_ipf_gl,95.88
341,Geovanni Martiniano,06/08/2022,points_ipf_gl,95.84
342,Kevin Yeboah,03/19/2022,points_ipf_gl,95.78
