,date,search_term,interest
476,2022-06-05,efficient boiler,22
477,2022-06-12,efficient boiler,12
478,2022-06-19,efficient boiler,20
479,2022-06-26,efficient boiler,12
480,2022-07-03,efficient boiler,10
481,2022-07-10,efficient boiler,9
482,2022-07-17,efficient boiler,0
483,2022-07-24,efficient boiler,32
484,2022-07-31,efficient boiler,38
485,2022-08-07,efficient boiler,44
486,2022-08-14,efficient boiler,48
487,2022-08-21,efficient boiler,67
488,2022-08-28,efficient boiler,95
489,2022-09-04,efficient boiler,61
490,2022-09-11,efficient boiler,51
491,2022-09-18,efficient boiler,56
492,2022-09-25,efficient boiler,74
493,2022-10-02,efficient boiler,77
494,2022-10-09,efficient boiler,42
495,2022-10-16,efficient boiler,100
496,2022-10-23,efficient boiler,45
497,2022-10-30,efficient boiler,70
498,2019-09-01,energy efficient,9
499,2019-09-08,energy efficient,14
500,2019-09-15,energy efficient,10
501,2019-09-22,energy efficient,10
502,2019-09-29,energy efficient,16
503,2019-10-06,energy efficient,15
504,2019-10-13,energy efficient,17
505,2019-10-20,energy efficient,17
506,2019-10-27,energy efficient,15
507,2019-11-03,energy efficient,14
508,2019-11-10,energy efficient,18
509,2019-11-17,energy efficient,19
510,2019-11-24,energy efficient,15
511,2019-12-01,energy efficient,17
512,2019-12-08,energy efficient,13
513,2019-12-15,energy efficient,16
514,2019-12-22,energy efficient,8
515,2019-12-29,energy efficient,12
516,2020-01-05,energy efficient,18
517,2020-01-12,energy efficient,18
518,2020-01-19,energy efficient,15
519,2020-01-26,energy efficient,11
520,2020-02-02,energy efficient,16
521,2020-02-09,energy efficient,15
522,2020-02-16,energy efficient,16
523,2020-02-23,energy efficient,11
524,2020-03-01,energy efficient,12
525,2020-03-08,energy efficient,10
526,2020-03-15,energy efficient,12
527,2020-03-22,energy efficient,10
528,2020-03-29,energy efficient,10
529,2020-04-05,energy efficient,9
530,2020-04-12,energy efficient,9
531,2020-04-19,energy efficient,10
532,2020-04-26,energy efficient,10
533,2020-05-03,energy efficient,15
534,2020-05-10,energy efficient,10
535,2020-05-17,energy efficient,10
536,2020-05-24,energy efficient,9
537,2020-05-31,energy efficient,13
538,2020-06-07,energy efficient,10
539,2020-06-14,energy efficient,13
540,2020-06-21,energy efficient,11
541,2020-06-28,energy efficient,11
542,2020-07-05,energy efficient,29
543,2020-07-12,energy efficient,13
544,2020-07-19,energy efficient,13
545,2020-07-26,energy efficient,12
546,2020-08-02,energy efficient,19
547,2020-08-09,energy efficient,14
548,2020-08-16,energy efficient,11
549,2020-08-23,energy efficient,8
550,2020-08-30,energy efficient,16
551,2020-09-06,energy efficient,15
552,2020-09-13,energy efficient,14
553,2020-09-20,energy efficient,14
554,2020-09-27,energy efficient,21
555,2020-10-04,energy efficient,22
556,2020-10-11,energy efficient,22
557,2020-10-18,energy efficient,14
558,2020-10-25,energy efficient,14
559,2020-11-01,energy efficient,19
560,2020-11-08,energy efficient,16
561,2020-11-15,energy efficient,15
562,2020-11-22,energy efficient,19
563,2020-11-29,energy efficient,16
564,2020-12-06,energy efficient,20
565,2020-12-13,energy efficient,11
566,2020-12-20,energy efficient,11
567,2020-12-27,energy efficient,15
568,2021-01-03,energy efficient,23
569,2021-01-10,energy efficient,20
570,2021-01-17,energy efficient,16
571,2021-01-24,energy efficient,14
572,2021-01-31,energy efficient,18
573,2021-02-07,energy efficient,22
574,2021-02-14,energy efficient,11
575,2021-02-21,energy efficient,18
576,2021-02-28,energy efficient,16
577,2021-03-07,energy efficient,14
578,2021-03-14,energy efficient,12
579,2021-03-21,energy efficient,12
580,2021-03-28,energy efficient,10
581,2021-04-04,energy efficient,15
582,2021-04-11,energy efficient,11
583,2021-04-18,energy efficient,13
584,2021-04-25,energy efficient,12
585,2021-05-02,energy efficient,15
586,2021-05-09,energy efficient,18
587,2021-05-16,energy efficient,11
588,2021-05-23,energy efficient,11
589,2021-05-30,energy efficient,16
590,2021-06-06,energy efficient,11
591,2021-06-13,energy efficient,9
592,2021-06-20,energy efficient,8
593,2021-06-27,energy efficient,11
594,2021-07-04,energy efficient,6
595,2021-07-11,energy efficient,8
596,2021-07-18,energy efficient,15
597,2021-07-25,energy efficient,8
598,2021-08-01,energy efficient,10
599,2021-08-08,energy efficient,9
600,2021-08-15,energy efficient,11
601,2021-08-22,energy efficient,13
602,2021-08-29,energy efficient,14
603,2021-09-05,energy efficient,11
604,2021-09-12,energy efficient,17
605,2021-09-19,energy efficient,18
606,2021-09-26,energy efficient,20
607,2021-10-03,energy efficient,25
608,2021-10-10,energy efficient,22
609,2021-10-17,energy efficient,26
610,2021-10-24,energy efficient,22
611,2021-10-31,energy efficient,23
612,2021-11-07,energy efficient,23
613,2021-11-14,energy efficient,16
614,2021-11-21,energy efficient,23
615,2021-11-28,energy efficient,23
616,2021-12-05,energy efficient,21
617,2021-12-12,energy efficient,13
618,2021-12-19,energy efficient,14
619,2021-12-26,energy efficient,16
620,2022-01-02,energy efficient,26
621,2022-01-09,energy efficient,22
622,2022-01-16,energy efficient,29
623,2022-01-23,energy efficient,24
624,2022-01-30,energy efficient,36
625,2022-02-06,energy efficient,27
626,2022-02-13,energy efficient,22
627,2022-02-20,energy efficient,25
628,2022-02-27,energy efficient,27
629,2022-03-06,energy efficient,39
630,2022-03-13,energy efficient,26
631,2022-03-20,energy efficient,24
632,2022-03-27,energy efficient,43
633,2022-04-03,energy efficient,42
634,2022-04-10,energy efficient,28
635,2022-04-17,energy efficient,23
636,2022-04-24,energy efficient,24
637,2022-05-01,energy efficient,22
638,2022-05-08,energy efficient,22
639,2022-05-15,energy efficient,18
640,2022-05-22,energy efficient,24
641,2022-05-29,energy efficient,19
642,2022-06-05,energy efficient,20
643,2022-06-12,energy efficient,16
644,2022-06-19,energy efficient,20
645,2022-06-26,energy efficient,21
646,2022-07-03,energy efficient,18
647,2022-07-10,energy efficient,21
648,2022-07-17,energy efficient,21
649,2022-07-24,energy efficient,25
650,2022-07-31,energy efficient,28
651,2022-08-07,energy efficient,31
652,2022-08-14,energy efficient,31
653,2022-08-21,energy efficient,54
654,2022-08-28,energy efficient,100
655,2022-09-04,energy efficient,72
656,2022-09-11,energy efficient,54
657,2022-09-18,energy efficient,54
658,2022-09-25,energy efficient,82
659,2022-10-02,energy efficient,67
660,2022-10-09,energy efficient,61
661,2022-10-16,energy efficient,54
662,2022-10-23,energy efficient,47
663,2022-10-30,energy efficient,57
664,2019-09-01,double glazing,51
665,2019-09-08,double glazing,51
666,2019-09-15,double glazing,52
