,search_term,year,month,interest,date,interest_sa,price
229,secondary glazing,2021,8,16.2,2021-08-01,26.568215413594288,108.2
230,triple glazing,2021,8,12.6,2021-08-01,31.077972618033805,108.2
231,double glazing,2021,9,55.5,2021-09-01,54.195966130805374,108.4
232,efficient boiler,2021,9,19.75,2021-09-01,19.9236905463529,108.4
233,efficient heater,2021,9,11.25,2021-09-01,2.1106354475337454,108.4
234,energy efficient,2021,9,16.25,2021-09-01,7.119235210241378,108.4
235,insulation,2021,9,53.5,2021-09-01,59.05964936986791,108.4
236,secondary glazing,2021,9,27.0,2021-09-01,21.89897480480775,108.4
237,triple glazing,2021,9,29.25,2021-09-01,36.29996916399122,108.4
238,double glazing,2021,10,63.0,2021-10-01,60.499999999999986,111.8
239,efficient boiler,2021,10,48.2,2021-10-01,35.977777777777774,111.8
240,efficient heater,2021,10,19.8,2021-10-01,9.35555555555556,111.8
241,energy efficient,2021,10,24.8,2021-10-01,13.63333333333334,111.8
242,insulation,2021,10,71.2,2021-10-01,70.08888888888887,111.8
243,secondary glazing,2021,10,39.8,2021-10-01,28.911111111111115,111.8
244,triple glazing,2021,10,43.8,2021-10-01,45.966666666666654,111.8
245,double glazing,2021,11,54.5,2021-11-01,58.76824045115357,112.0
246,efficient boiler,2021,11,43.75,2021-11-01,31.232817373561517,112.0
247,efficient heater,2021,11,22.0,2021-11-01,9.643705461738502,112.0
248,energy efficient,2021,11,21.0,2021-11-01,12.433562929849604,112.0
249,insulation,2021,11,69.5,2021-11-01,65.63618278552711,112.0
250,secondary glazing,2021,11,37.75,2021-11-01,27.523477996908024,112.0
251,triple glazing,2021,11,48.5,2021-11-01,55.36533090519164,112.0
252,double glazing,2021,12,38.5,2021-12-01,57.49236787890726,112.1
253,efficient boiler,2021,12,16.0,2021-12-01,16.033365793220383,112.1
254,efficient heater,2021,12,14.0,2021-12-01,12.559930116377007,112.1
255,energy efficient,2021,12,17.5,2021-12-01,14.778527258284852,112.1
256,insulation,2021,12,48.25,2021-12-01,61.65854649174848,112.1
257,secondary glazing,2021,12,21.0,2021-12-01,29.091879510381755,112.1
258,triple glazing,2021,12,36.0,2021-12-01,48.03733240088995,112.1
259,double glazing,2022,1,58.6,2022-01-01,58.6,112.5
260,efficient boiler,2022,1,39.0,2022-01-01,39.0,112.5
261,efficient heater,2022,1,17.6,2022-01-01,17.6,112.5
262,energy efficient,2022,1,27.4,2022-01-01,27.4,112.5
263,insulation,2022,1,73.4,2022-01-01,73.4,112.5
264,secondary glazing,2022,1,36.8,2022-01-01,36.8,112.5
265,triple glazing,2022,1,61.2,2022-01-01,61.2,112.5
266,double glazing,2022,2,58.75,2022-02-01,55.1703063825312,112.7
267,efficient boiler,2022,2,54.0,2022-02-01,53.68379929344265,112.7
268,efficient heater,2022,2,13.75,2022-02-01,18.60130803403237,112.7
269,energy efficient,2022,2,24.75,2022-02-01,26.16832772126534,112.7
270,insulation,2022,2,69.0,2022-02-01,73.31237879961431,112.7
271,secondary glazing,2022,2,38.25,2022-02-01,38.85923565661447,112.7
272,triple glazing,2022,2,47.25,2022-02-01,53.51511170990359,112.7
273,double glazing,2022,3,56.5,2022-03-01,58.104501653951296,113.3
274,efficient boiler,2022,3,65.5,2022-03-01,64.9925985868853,113.3
275,efficient heater,2022,3,14.5,2022-03-01,23.11928273473137,113.3
276,energy efficient,2022,3,32.5,2022-03-01,34.68387766475287,113.3
277,insulation,2022,3,66.5,2022-03-01,80.83309093256194,113.3
278,secondary glazing,2022,3,35.0,2022-03-01,44.16291575767336,113.3
279,triple glazing,2022,3,49.75,2022-03-01,59.47466786425164,113.3
280,double glazing,2022,4,54.75,2022-04-01,56.23280638253119,128.3
281,efficient boiler,2022,4,21.75,2022-04-01,33.55879929344264,128.3
282,efficient heater,2022,4,9.75,2022-04-01,19.851308034032364,128.3
283,energy efficient,2022,4,30.0,2022-04-01,32.29332772126533,128.3
284,insulation,2022,4,60.75,2022-04-01,78.9373787996143,128.3
285,secondary glazing,2022,4,24.5,2022-04-01,38.171735656614466,128.3
286,triple glazing,2022,4,31.5,2022-04-01,46.95261170990359,128.3
287,double glazing,2022,5,46.4,2022-05-01,52.61313713407535,128.6
288,efficient boiler,2022,5,25.2,2022-05-01,36.09021238294396,128.6
289,efficient heater,2022,5,7.2,2022-05-01,17.85875192721532,128.6
