,date,search_term,interest,year,month,year_trend,interest_sa
1436,2022-07-10,secondary glazing,25,2022,7,4.0,40.29252954111375
1437,2022-07-17,secondary glazing,26,2022,7,4.0,41.29252954111375
1438,2022-07-24,secondary glazing,28,2022,7,4.0,43.29252954111375
1439,2022-07-31,secondary glazing,22,2022,7,4.0,37.29252954111375
1453,2022-11-06,secondary glazing,69,2022,11,4.0,59.349679906496
1452,2022-10-30,secondary glazing,52,2022,10,4.0,41.111111111111114
1451,2022-10-23,secondary glazing,54,2022,10,4.0,43.111111111111114
1450,2022-10-16,secondary glazing,44,2022,10,4.0,33.111111111111114
1449,2022-10-09,secondary glazing,57,2022,10,4.0,46.111111111111114
1448,2022-10-02,secondary glazing,65,2022,10,4.0,54.111111111111114
1422,2022-04-03,secondary glazing,33,2022,4,4.0,46.69764348540989
1447,2022-09-25,secondary glazing,86,2022,9,4.0,80.74246331205893
1445,2022-09-11,secondary glazing,81,2022,9,4.0,75.74246331205893
1444,2022-09-04,secondary glazing,48,2022,9,4.0,42.74246331205892
1443,2022-08-28,secondary glazing,68,2022,8,4.0,78.85736570763208
1442,2022-08-21,secondary glazing,41,2022,8,4.0,51.85736570763209
1441,2022-08-14,secondary glazing,27,2022,8,4.0,37.85736570763209
1440,2022-08-07,secondary glazing,24,2022,8,4.0,34.85736570763209
1446,2022-09-18,secondary glazing,66,2022,9,4.0,60.74246331205892
1421,2022-03-27,secondary glazing,38,2022,3,4.0,47.21473141526418
1419,2022-03-13,secondary glazing,32,2022,3,4.0,41.21473141526418
1418,2022-03-06,secondary glazing,38,2022,3,4.0,47.21473141526418
1417,2022-02-27,secondary glazing,34,2022,2,4.0,34.6351434854099
1416,2022-02-20,secondary glazing,23,2022,2,4.0,23.6351434854099
1415,2022-02-13,secondary glazing,41,2022,2,4.0,41.6351434854099
1414,2022-02-06,secondary glazing,55,2022,2,4.0,55.6351434854099
1413,2022-01-30,secondary glazing,26,2022,1,4.0,26.0
1420,2022-03-20,secondary glazing,32,2022,3,4.0,41.21473141526418
1412,2022-01-23,secondary glazing,38,2022,1,4.0,38.0
1410,2022-01-09,secondary glazing,47,2022,1,4.0,47.0
