,date,search_term,interest,month,year,m_1,m_10,m_11,m_12,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,y_2018,y_2019,y_2020,y_2021,y_2022,interest_sa
168,2022-02-20,insulation,67,2,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,71.31237879961431
169,2022-02-27,insulation,61,2,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,65.31237879961431
170,2022-03-06,insulation,71,3,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,85.33309093256194
171,2022-03-13,insulation,61,3,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,75.33309093256194
172,2022-03-20,insulation,63,3,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,77.33309093256194
173,2022-03-27,insulation,71,3,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,85.33309093256194
174,2022-04-03,insulation,74,4,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,92.1873787996143
175,2022-04-10,insulation,57,4,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,75.1873787996143
176,2022-04-17,insulation,59,4,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,77.1873787996143
177,2022-04-24,insulation,53,4,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,71.1873787996143
178,2022-05-01,insulation,55,5,2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,76.4990314472821
179,2022-05-08,insulation,55,5,2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,76.4990314472821
180,2022-05-15,insulation,53,5,2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,74.4990314472821
181,2022-05-22,insulation,52,5,2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,73.4990314472821
182,2022-05-29,insulation,47,5,2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,68.4990314472821
183,2022-06-05,insulation,56,6,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,77.85376701692674
184,2022-06-12,insulation,47,6,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,68.85376701692674
185,2022-06-19,insulation,51,6,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,72.85376701692674
186,2022-06-26,insulation,50,6,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,71.85376701692674
187,2022-07-03,insulation,47,7,2022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,66.84110555985794
188,2022-07-10,insulation,47,7,2022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,66.84110555985794
189,2022-07-17,insulation,49,7,2022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,68.84110555985794
190,2022-07-24,insulation,56,7,2022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,75.84110555985794
191,2022-07-31,insulation,58,7,2022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,77.84110555985794
192,2022-08-07,insulation,57,8,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,72.39893687636693
